link,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield ,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
/funds/vots11,VOTS11,Títulos e Val. Mob.,"R$ 85,50",7.0,"R$ 0,50","0,58%","1,77%","3,20%","5,42%","0,59%","0,53%","0,45%","4,20%","-1,95%","-1,38%","-2,55%","R$ 80.791.163,86","R$ 97,58","0,88","0,53%","0,00%","0,53%","3,22%",N/A,N/A,0
/funds/vsho11,VSHO11,Shoppings,"R$ 100,49",1466.0,"R$ 0,62","0,61%","1,83%","3,59%","0,00%","0,61%","0,60%","0,00%","4,90%","-1,00%","-0,39%","-4,07%","R$ 224.771.913,81","R$ 107,10","0,94","0,57%","0,08%","0,65%","9,70%","5,67%",N/A,3
/funds/kfof11,KFOF11,Títulos e Val. Mob.,"R$ 111,00",115.0,"R$ 0,54","0,49%","1,61%","3,04%","0,00%","0,54%","0,51%","0,00%","4,04%","-1,99%","-1,51%","15,03%","R$ 145.933.954,22","R$ 110,73","1,00","0,49%","2,34%","2,84%","10,76%",N/A,N/A,0
/funds/patc11,PATC11,Lajes Corporativas,"R$ 100,00",30248.0,"R$ 0,38","0,38%","0,94%","0,00%","0,00%","0,31%","0,00%","0,00%","1,55%","-0,04%","0,34%","1,56%","R$ 146.094.995,80","R$ 97,26","1,03","0,31%","-0,37%","-0,06%","-1,57%",N/A,N/A,1
/funds/dmac11,DMAC11,Residencial,"R$ 750,00",310.0,"R$ 5,47","0,70%","2,21%","4,50%","0,00%","0,74%","0,75%","0,00%","6,18%","-1,27%","-0,57%","-5,73%","R$ 180.256.257,09","R$ 1.154,69","0,65","0,47%","-1,43%","-0,96%","-14,50%",N/A,N/A,0
/funds/rect11,RECT11,Híbrido,"R$ 101,20",3787.0,"R$ 0,83","0,84%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,50%","-1,79%","-0,96%","-0,41%","R$ 115.321.069,23","R$ 95,68","1,06","0,86%","-0,11%","0,76%","0,74%",N/A,N/A,1
/funds/rbed11,RBED11,Outros,"R$ 170,57",657.0,"R$ 1,00","0,59%","1,70%","3,83%","8,62%","0,57%","0,64%","0,72%","5,38%","-2,53%","-1,96%","11,08%","R$ 112.063.566,23","R$ 148,92","1,15","0,67%","0,08%","0,75%","3,80%","0,00%",N/A,2
/funds/rbva11,RBVA11,Outros,"R$ 126,49",6428.0,"R$ 0,90","0,71%","2,46%","4,57%","8,46%","0,82%","0,76%","0,71%","5,93%","-10,29%","-9,65%","12,76%","R$ 436.178.459,61","R$ 107,70","1,17","0,84%","-0,01%","0,83%","5,04%",N/A,N/A,42
/funds/vilg11,VILG11,Logística,"R$ 121,27",18987.0,"R$ 0,71","0,59%","1,85%","3,98%","0,00%","0,62%","0,66%","0,00%","5,33%","1,10%","1,69%","27,88%","R$ 232.377.129,59","R$ 105,75","1,15","0,69%","-0,07%","0,62%","-7,19%","0,00%",N/A,3
/funds/crff11,CRFF11,Títulos e Val. Mob.,"R$ 98,75",512.0,"R$ 0,45","0,45%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,04%","4,21%","4,68%","0,03%","R$ 66.741.608,75","R$ 96,72","1,02","0,46%","0,91%","1,38%","2,72%",N/A,N/A,0
/funds/hgpo11,HGPO11,Lajes Corporativas,"R$ 185,00",531.0,"R$ 0,87","0,47%","1,37%","2,66%","5,51%","0,46%","0,44%","0,46%","3,55%","2,49%","2,98%","9,59%","R$ 247.305.131,63","R$ 149,88","1,23","0,58%","0,02%","0,60%","3,95%","1,73%","1,52%",2
/funds/oulg11b,OULG11B,Outros,"R$ 116,00",287.0,"R$ 0,81","0,69%","2,17%","0,00%","0,00%","0,72%","0,00%","0,00%","2,93%","3,78%","4,50%","14,09%","R$ 90.361.663,05","R$ 85,11","1,36","0,96%","-0,06%","0,90%","3,79%","0,00%",N/A,1
/funds/xpht11,XPHT11,Hotel,"R$ 105,50",61.0,"R$ 0,60","0,57%","1,57%","0,00%","0,00%","0,52%","0,00%","0,00%","2,61%","-2,31%","-1,76%","8,29%","R$ 389.527.098,22","R$ 104,22","1,01","0,58%","0,26%","0,84%","1,10%",N/A,N/A,0
/funds/rbry11,RBRY11,Títulos e Val. Mob.,"R$ 130,00",14.0,"R$ 0,65","0,50%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,50%","0,00%","0,50%","0,50%","R$ 110.895.298,55","R$ 103,62","1,25","0,63%","0,19%","0,82%","1,78%",N/A,N/A,0
/funds/rbrp11,RBRP11,Outros,"R$ 86,51",8.0,"R$ 0,28","0,32%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,79%","6,07%","6,41%","6,90%","R$ 155.627.293,34","R$ 80,34","1,08","0,49%","-0,66%","-0,18%","0,65%",N/A,N/A,0
/funds/gtwr11,GTWR11,Lajes Corporativas,"R$ 103,19",6867.0,"R$ 0,67","0,65%","1,95%","0,00%","0,00%","0,65%","0,00%","0,00%","2,62%","0,43%","1,08%","5,92%","R$ 1.233.132.052,72","R$ 102,76","1,00","0,65%","-0,02%","0,63%","1,90%",N/A,N/A,1
/funds/ouff11,OUFF11,Títulos e Val. Mob.,"R$ 96,00",1074.0,"R$ 0,45","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","-3,11%","-2,66%","-2,66%","R$ 65.197.302,38","R$ 97,08","0,99","0,46%","-2,74%","-2,29%","-2,29%",N/A,N/A,0
/funds/hctr11,HCTR11,Outros,"R$ 1.170,49",111.0,"R$ 15,80","1,35%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,58%","4,94%","6,36%","8,37%","R$ 10.542.723,84","R$ 1.119,85","1,05","1,22%","1,83%","3,08%","3,08%",N/A,N/A,0
/funds/hsml11,HSML11,Shoppings,"R$ 104,88",39573.0,"R$ 0,60","0,57%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 674.850.933,64","R$ 99,98","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/rbff11,RBFF11,Títulos e Val. Mob.,"R$ 86,00",858.0,"R$ 0,20","0,23%","0,75%","2,68%","5,96%","0,25%","0,45%","0,50%","3,73%","-1,41%","-1,18%","7,57%","R$ 35.360.890,29","R$ 96,62","0,89","0,02%","1,14%","1,16%","8,52%",N/A,N/A,0
/funds/hgff11,HGFF11,,"R$ 103,00",2026.0,"R$ 0,11","0,11%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
