link,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield ,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
/funds/ctxt11,CTXT11,Lajes Corporativas,"R$ 55,50",1014.0,"R$ 0,36","0,65%","1,87%","3,62%","7,69%","0,62%","0,60%","0,64%","4,99%","-8,72%","-8,12%","2,37%","R$ 123.274.925,37","R$ 47,52","1,17","0,78%","-0,05%","0,73%","1.378,71%","8,60%",N/A,1
/funds/flma11,FLMA11,Híbrido,"R$ 4,03",80098.0,"R$ 0,02","0,38%","1,22%","2,49%","5,76%","0,41%","0,41%","0,48%","2,94%","16,57%","17,02%","48,83%","R$ 199.827.076,48","R$ 2,89","1,39","0,55%","-0,02%","0,54%","2,69%","5,49%",N/A,1
/funds/edfo11b,EDFO11B,Lajes Corporativas,"R$ 294,00",215.0,"R$ 1,85","0,63%","1,86%","3,59%","7,33%","0,62%","0,60%","0,61%","4,82%","-5,16%","-4,57%","8,24%","R$ 43.814.237,81","R$ 185,65","1,58","1,03%","-0,01%","1,03%","7,52%","6,96%",N/A,1
/funds/euro11,EURO11,Logística,"R$ 172,00",40231.0,"R$ 6,85","3,98%","4,73%","5,81%","8,64%","1,58%","0,97%","0,72%","6,59%","4,23%","8,38%","15,09%","R$ 122.614.539,65","R$ 319,36","0,54","0,19%","-0,01%","0,18%","1,12%","31,85%",N/A,6
/funds/figs11,FIGS11,Shoppings,"R$ 67,50",11221.0,"R$ 0,13","0,19%","0,82%","3,43%","10,97%","0,27%","0,57%","0,91%","6,16%","5,14%","5,34%","19,61%","R$ 247.441.495,37","R$ 95,48","0,71","0,28%","-0,35%","-0,07%","2,95%","9,86%",N/A,2
/funds/abcp11,ABCP11,Shoppings,"R$ 94,99",14703.0,"R$ 0,49","0,52%","1,37%","2,64%","5,88%","0,46%","0,44%","0,49%","3,78%","-6,82%","-6,34%","14,14%","R$ 909.987.230,56","R$ 74,57","1,27","0,60%","0,38%","0,98%","425,77%","1,30%",N/A,1
/funds/fiib11,FIIB11,Híbrido,"R$ 519,02",516.0,"R$ 2,67","0,51%","1,61%","3,37%","7,16%","0,54%","0,56%","0,60%","3,96%","0,05%","0,57%","24,01%","R$ 266.544.575,22","R$ 389,12","1,33","0,69%","-0,01%","0,68%","4,38%","4,92%",N/A,1
/funds/fmof11,FMOF11,Lajes Corporativas,"R$ 88,00",100173.0,"R$ 0,45","0,53%","0,53%","0,53%","3,17%","0,18%","0,09%","0,26%","0,53%","0,02%","0,55%","-2,90%","R$ 67.807.925,06","R$ 133,48","0,66",N/A,N/A,N/A,N/A,"45,83%",N/A,1
/funds/mbrf11,MBRF11,Outros,"R$ 1.160,00",234.0,"R$ 8,50","0,69%","2,03%","4,16%","8,69%","0,68%","0,69%","0,72%","4,87%","-4,33%","-3,67%","15,25%","R$ 120.002.770,01","R$ 1.180,39","0,98","0,72%","0,02%","0,74%","5,23%","0,00%",N/A,2
/funds/paby11,PABY11,Híbrido,"R$ 26,00",95.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ 191.755.254,65","R$ 252,84","0,10",N/A,N/A,N/A,N/A,N/A,N/A,1
/funds/fpab11,FPAB11,Lajes Corporativas,"R$ 389,99",11.0,"R$ 1,80","0,46%","1,47%","3,01%","8,24%","0,49%","0,50%","0,69%","3,99%","5,40%","5,89%","9,69%","R$ 280.115.650,36","R$ 373,49","1,04","0,48%","0,08%","0,56%","3,24%","14,79%",N/A,1
/funds/ffci11,FFCI11,Lajes Corporativas,"R$ 173,00",3006.0,"R$ 0,68","0,39%","1,01%","1,87%","4,17%","0,34%","0,31%","0,35%","2,47%","-0,07%","0,32%","5,19%","R$ 372.607.813,88","R$ 171,71","1,01","0,33%","0,20%","0,53%","1,98%","7,33%",N/A,9
/funds/rngo11,RNGO11,Lajes Corporativas,"R$ 83,56",3309.0,"R$ 0,49","0,59%","1,85%","3,57%","7,05%","0,62%","0,59%","0,59%","4,73%","-1,69%","-1,12%","6,35%","R$ 250.921.280,52","R$ 93,77","0,89","0,52%","0,04%","0,56%","3,90%","19,50%",N/A,3
/funds/scpf11,SCPF11,Shoppings,"R$ 10,30",1341.0,"R$ 0,05","0,52%","1,51%","2,71%","5,86%","0,50%","0,45%","0,49%","3,66%","-0,84%","-0,33%","-1,56%","R$ 48.532.207,69","R$ 11,56","0,89","0,47%","0,25%","0,72%","4,55%","9,65%",N/A,1
/funds/shph11,SHPH11,Shoppings,"R$ 948,00",124.0,"R$ 3,60","0,38%","1,15%","2,30%","4,77%","0,38%","0,38%","0,40%","2,88%","0,50%","0,88%","2,15%","R$ 430.450.065,15","R$ 706,87","1,34","0,51%","-0,01%","0,50%","3,29%","1,40%",N/A,1
/funds/onef11,ONEF11,Lajes Corporativas,"R$ 150,00",355.0,"R$ 0,72","0,49%","1,49%","2,97%","6,14%","0,50%","0,50%","0,51%","3,48%","0,52%","1,01%","7,08%","R$ 101.643.467,73","R$ 111,57","1,34","0,65%","0,06%","0,70%","4,74%","10,30%",N/A,1
/funds/fvpq11,FVPQ11,Shoppings,"R$ 182,00",1669.0,"R$ 0,54","0,29%","1,92%","3,30%","6,94%","0,64%","0,55%","0,58%","4,68%","-1,09%","-0,80%","-1,20%","R$ 524.894.887,24","R$ 187,45","0,97","0,50%","0,06%","0,56%","4,15%","5,30%",N/A,1
/funds/fivn11,FIVN11,Shoppings,"R$ 3,29",932.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 81.711.890,79","R$ 8,68","0,38",N/A,N/A,N/A,N/A,"56,00%",N/A,1
/funds/rbbv11,RBBV11,Títulos e Val. Mob.,"R$ 85,95",6918.0,"R$ 0,10","0,12%","1,15%","3,25%","7,69%","0,38%","0,54%","0,64%","3,39%","4,05%","4,17%","19,02%","R$ 125.439.510,49","R$ 100,02","0,86","0,10%","-0,11%","-0,01%","2,99%",N/A,N/A,1
/funds/jsre11,JSRE11,Híbrido,"R$ 111,55",10174.0,"R$ 0,62","0,56%","1,66%","3,26%","6,52%","0,55%","0,54%","0,54%","4,35%","-0,84%","-0,29%","13,02%","R$ 897.440.344,12","R$ 111,04","1,00","0,56%","-0,17%","0,39%","3,55%","1,00%",N/A,3
/funds/knre11,KNRE11,Residencial,"R$ 6,29",2353.0,"R$ 0,00","0,00%","0,96%","2,71%","5,39%","0,32%","0,45%","0,45%","2,71%","-20,18%","-20,18%","-24,77%","R$ 98.568.081,66","R$ 5,31","1,18",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/knri11,KNRI11,Híbrido,"R$ 158,20",38779.0,"R$ 0,74","0,47%","1,43%","2,88%","5,99%","0,48%","0,48%","0,50%","3,86%","3,07%","3,55%","9,46%","R$ 3.556.129.926,57","R$ 150,68","1,05","0,49%","-0,01%","0,49%","8,38%","5,10%","8,14%",18
/funds/kncr11,KNCR11,Títulos e Val. Mob.,"R$ 105,88",49186.0,"R$ 0,57","0,54%","1,68%","3,37%","6,50%","0,56%","0,56%","0,54%","4,42%","1,52%","2,07%","4,68%","R$ 3.904.416.123,69","R$ 104,97","1,01","0,61%","0,03%","0,64%","4,29%",N/A,N/A,0
/funds/mxrf11,MXRF11,Híbrido,"R$ 10,90",201465.0,"R$ 0,07","0,64%","1,84%","3,66%","7,31%","0,61%","0,61%","0,61%","4,83%","-8,86%","-8,28%","1,67%","R$ 405.195.237,87","R$ 9,82","1,11","0,71%","-2,95%","-2,26%","40,97%",N/A,N/A,0
/funds/mfii11,MFII11,Híbrido,"R$ 119,30",14321.0,"R$ 1,08","0,91%","2,76%","5,84%","11,79%","0,92%","0,97%","0,98%","8,07%","-2,11%","-1,22%","29,27%","R$ 210.772.286,54","R$ 99,89","1,19","1,13%","-1,20%","-0,08%","7,74%",N/A,N/A,9
/funds/drit11b,DRIT11B,Lajes Corporativas,"R$ 155,00",70.0,"R$ 0,50","0,29%","0,98%","2,06%","5,31%","0,33%","0,34%","0,44%","2,48%","4,93%","5,23%","8,22%","R$ 58.074.314,67","R$ 125,36","1,24","0,40%","0,24%","0,64%","3,60%","7,60%",N/A,4
/funds/plri11,PLRI11,Títulos e Val. Mob.,"R$ 60,03",39.0,"R$ 0,77","1,28%","2,25%","3,81%","7,11%","0,75%","0,64%","0,59%","4,65%","-2,39%","-1,14%","-12,13%","R$ 71.124.308,01","R$ 74,53","0,81","0,57%","-0,71%","-0,14%","-3,09%",N/A,N/A,0
/funds/pord11,PORD11,Títulos e Val. Mob.,"R$ 107,50",278.0,"R$ 4,35","3,89%","3,89%","3,89%","10,56%","1,30%","0,65%","0,88%","3,89%","-1,75%","2,06%","16,48%","R$ 103.733.556,95","R$ 103,73","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/rbds11,RBDS11,Residencial,"R$ 208,00",368.0,"R$ 6,74","3,00%","5,49%","9,38%","22,10%","1,83%","1,56%","1,84%","12,96%","5,15%","8,30%","-3,12%","R$ 14.515.626,51","R$ 114,73","1,81","5,88%","-17,13%","-12,26%","-32,52%",N/A,N/A,0
/funds/rbgs11,RBGS11,Shoppings,"R$ 45,20",2038.0,"R$ 0,26","0,57%","1,60%","2,54%","5,10%","0,53%","0,42%","0,43%","3,91%","4,03%","4,62%","8,29%","R$ 100.113.205,52","R$ 92,87","0,49","0,24%","0,08%","0,32%","1,75%","12,40%",N/A,1
/funds/fiip11b,FIIP11B,Logística,"R$ 193,00",649.0,"R$ 0,86","0,44%","1,60%","3,35%","8,49%","0,53%","0,56%","0,71%","5,94%","-6,39%","-5,97%","6,11%","R$ 179.859.464,11","R$ 193,99","0,99","0,44%","0,01%","0,45%","4,47%","32,05%",N/A,7
/funds/rbrd11,RBRD11,Híbrido,"R$ 103,86",423.0,"R$ 0,52","0,50%","1,55%","3,33%","9,85%","0,52%","0,56%","0,82%","4,38%","1,92%","2,44%","21,61%","R$ 146.160.882,83","R$ 78,93","1,32","0,67%","0,35%","1,02%","6,90%","0,00%",N/A,4
/funds/rdes11,RDES11,Lajes Corporativas,"R$ 67,51",22.0,"R$ 0,15","0,23%","0,88%","1,75%","3,89%","0,29%","0,29%","0,32%","2,56%","-1,40%","-1,18%","-6,40%","R$ 61.144.133,96","R$ 82,40","0,82","0,22%","-0,09%","0,12%","1,54%","50,53%",N/A,4
/funds/rbcb11,RBCB11,Outros,"R$ 31,99",34.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 513.583,65","R$ 9,67","3,31",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/rbvo11,RBVO11,Outros,"R$ 40,70",1269.0,"R$ 0,20","0,49%","1,54%","3,04%","8,62%","0,51%","0,51%","0,72%","3,78%","-6,07%","-5,61%","-13,66%","R$ 26.327.054,85","R$ 51,04","0,80","0,39%","-0,49%","-0,10%","7,99%",N/A,N/A,0
/funds/saag11,SAAG11,Outros,"R$ 128,71",19413.0,"R$ 0,93","0,72%","2,17%","4,36%","8,68%","0,72%","0,73%","0,72%","5,79%","-0,01%","0,71%","8,74%","R$ 508.579.716,18","R$ 90,31","1,43","1,03%","0,04%","1,08%","7,45%",N/A,N/A,28
/funds/sdil11,SDIL11,Logística,"R$ 117,00",21749.0,"R$ 0,64","0,55%","1,67%","3,44%","7,19%","0,56%","0,57%","0,60%","4,58%","2,63%","3,19%","8,37%","R$ 441.813.251,43","R$ 92,62","1,26","0,69%","0,55%","1,25%","4,85%","3,50%",N/A,3
/funds/sptw11,SPTW11,Lajes Corporativas,"R$ 85,31",8274.0,"R$ 0,61","0,72%","2,10%","4,19%","8,82%","0,70%","0,70%","0,73%","5,70%","-2,78%","-2,09%","12,17%","R$ 134.931.269,83","R$ 75,05","1,14","0,81%","0,06%","0,87%","6,16%","0,00%",N/A,2
/funds/xted11,XTED11,Lajes Corporativas,"R$ 7,12",1308.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 26.131.762,15","R$ 14,58","0,49",N/A,N/A,N/A,N/A,"100,00%","100,00%",1
/funds/trxl11,TRXL11,Logística,"R$ 109,00",1779.0,"R$ 0,37","0,36%","1,20%","2,45%","5,31%","0,40%","0,41%","0,44%","2,89%","0,96%","1,32%","28,86%","R$ 183.996.934,19","R$ 98,53","1,11","0,38%","-0,08%","0,30%","2,09%","24,60%","26,00%",6
/funds/xpcm11,XPCM11,Lajes Corporativas,"R$ 58,22",25446.0,"R$ 0,85","1,46%","3,71%","6,36%","11,66%","1,24%","1,06%","0,97%","8,15%","-2,35%","-0,92%","-35,78%","R$ 201.305.552,50","R$ 83,37","0,70","1,02%","0,11%","1,13%","7,00%","0,00%","0,00%",1
/funds/knip11,KNIP11,Títulos e Val. Mob.,"R$ 115,00",41618.0,"R$ 0,68","0,59%","1,75%","4,00%","7,55%","0,58%","0,67%","0,63%","4,98%","-3,35%","-2,78%","8,26%","R$ 2.732.710.346,21","R$ 111,40","1,03","0,58%","0,40%","0,99%","9,12%",N/A,N/A,0
/funds/faed11,FAED11,Outros,"R$ 249,00",714.0,"R$ 1,53","0,62%","1,92%","3,94%","8,29%","0,64%","0,66%","0,69%","4,58%","-0,52%","0,09%","15,42%","R$ 121.475.373,68","R$ 189,16","1,32","0,83%","0,00%","0,84%","-5,40%","0,00%",N/A,3
/funds/cnes11,CNES11,Lajes Corporativas,"R$ 83,00",2628.0,"R$ 0,43","0,51%","0,83%","1,24%","1,96%","0,28%","0,21%","0,16%","1,51%","0,78%","1,29%","10,46%","R$ 272.354.946,69","R$ 92,35","0,90","0,46%","0,37%","0,83%","-0,49%","62,20%",N/A,1
/funds/flrp11,FLRP11,Shoppings,"R$ 1.425,01",15715.0,"R$ 6,28","0,45%","1,32%","2,80%","6,64%","0,44%","0,47%","0,55%","3,92%","8,08%","8,56%","16,32%","R$ 74.473.538,82","R$ 1.337,26","1,07","0,47%","0,04%","0,51%","4,15%","3,60%",N/A,1
/funds/fexc11,FEXC11,Títulos e Val. Mob.,"R$ 113,44",2622.0,"R$ 0,79","0,71%","2,21%","4,10%","8,41%","0,74%","0,68%","0,70%","4,54%","-9,74%","-9,09%","10,56%","R$ 149.210.689,32","R$ 102,11","1,11","0,77%","0,10%","0,87%","6,60%",N/A,N/A,0
/funds/edga11,EDGA11,Lajes Corporativas,"R$ 46,91",7674.0,"R$ 0,20","0,41%","1,44%","2,56%","6,31%","0,48%","0,43%","0,53%","3,11%","-3,72%","-3,33%","2,96%","R$ 326.345.783,39","R$ 85,61","0,55","0,31%","0,07%","0,38%","1,60%","18,30%",N/A,1
/funds/nslu11,NSLU11,Hospital,"R$ 246,92",2369.0,"R$ 1,72","0,69%","2,06%","3,90%","8,16%","0,69%","0,65%","0,68%","4,59%","0,33%","1,02%","13,12%","R$ 207.169.877,57","R$ 180,97","1,36","0,93%","0,00%","0,94%","5,48%","0,00%",N/A,1
/funds/htmx11,HTMX11,Hotel,"R$ 170,80",2000.0,"R$ 0,55","0,32%","0,97%","3,10%","7,38%","0,32%","0,52%","0,61%","4,19%","-5,75%","-5,44%","18,78%","R$ 153.972.594,79","R$ 137,60","1,24","0,45%","-0,01%","0,44%","3,58%","45,83%",N/A,23
/funds/maxr11,MAXR11,Outros,"R$ 2.315,00",171.0,"R$ 25,03","1,05%","3,12%","4,89%","9,57%","1,04%","0,81%","0,80%","4,89%","-1,53%","-0,50%","22,34%","R$ 105.206.380,38","R$ 1.775,78","1,30","1,41%","-0,03%","1,38%","6,07%","0,00%",N/A,8
/funds/jrdm11,JRDM11,Shoppings,"R$ 87,36",2115.0,"R$ 0,47","0,53%","1,61%","3,18%","8,13%","0,54%","0,53%","0,68%","3,18%","0,26%","0,80%","9,13%","R$ 209.120.102,06","R$ 82,89","1,05",N/A,N/A,N/A,N/A,"3,20%",N/A,1
/funds/almi11,ALMI11,Lajes Corporativas,"R$ 1.440,01",1778.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 190.633.987,45","R$ 1.714,69","0,84",N/A,N/A,N/A,N/A,"82,00%",N/A,1
/funds/trnt11,TRNT11,Lajes Corporativas,"R$ 228,99",192.0,"R$ 0,73","0,36%","1,15%","2,32%","4,26%","0,38%","0,39%","0,36%","2,65%","1,32%","1,68%","7,83%","R$ 783.668.670,40","R$ 199,12","1,15","0,37%","-0,02%","0,34%","2,53%","20,70%",N/A,1
/funds/fvbi11,FVBI11,Lajes Corporativas,"R$ 137,50",1001.0,"R$ 0,53","0,38%","1,04%","1,90%","3,95%","0,35%","0,32%","0,33%","2,24%","1,91%","2,30%","10,28%","R$ 201.748.811,74","R$ 93,84","1,47","0,56%","0,00%","0,56%","3,23%","8,40%",N/A,1
/funds/fcfl11,FCFL11,Outros,"R$ 2.479,85",129.0,"R$ 12,14","0,51%","1,53%","3,16%","6,63%","0,51%","0,53%","0,55%","3,73%","-0,83%","-0,33%","20,41%","R$ 300.548.138,98","R$ 1.799,69","1,38","0,67%","0,00%","0,67%","4,82%","0,00%",N/A,1
/funds/thra11,THRA11,Lajes Corporativas,"R$ 139,75",7791.0,"R$ 0,60","0,43%","1,32%","2,67%","5,72%","0,44%","0,44%","0,48%","3,14%","2,92%","3,36%","16,40%","R$ 150.126.627,13","R$ 101,94","1,37","0,60%","-0,08%","0,52%","3,10%","0,00%",N/A,1
/funds/ceoc11,CEOC11,Lajes Corporativas,"R$ 85,21",1295.0,"R$ 0,55","0,65%","1,94%","3,87%","8,00%","0,65%","0,64%","0,67%","4,52%","-0,16%","0,49%","5,99%","R$ 160.255.971,71","R$ 88,26","0,97","0,63%","-0,05%","0,58%","3,55%","0,00%",N/A,1
/funds/ggrc11,GGRC11,Logística,"R$ 139,67",14910.0,"R$ 0,72","0,50%","1,51%","2,53%","7,02%","0,50%","0,42%","0,58%","3,83%","0,73%","1,23%","18,05%","R$ 765.704.224,78","R$ 117,75","1,19","0,61%","1,61%","2,23%","3,27%","0,00%","0,00%",15
/funds/oujp11,OUJP11,Títulos e Val. Mob.,"R$ 106,89",20967.0,"R$ 0,63","0,59%","1,77%","4,12%","9,90%","0,59%","0,69%","0,82%","7,30%","-8,65%","-8,11%","7,50%","R$ 140.637.080,66","R$ 104,83","1,02","0,51%","0,34%","0,86%","9,01%",N/A,N/A,0
/funds/hcri11,HCRI11,Hospital,"R$ 390,00",175.0,"R$ 2,57","0,68%","2,01%","4,09%","8,62%","0,67%","0,68%","0,72%","4,90%","6,44%","7,16%","27,28%","R$ 52.644.813,66","R$ 263,22","1,48","0,97%","-0,01%","0,96%","5,88%","0,00%",N/A,1
/funds/rbrf11,RBRF11,Títulos e Val. Mob.,"R$ 106,40",22993.0,"R$ 0,70","0,67%","2,37%","4,85%","8,56%","0,79%","0,81%","0,71%","5,48%","0,23%","0,90%","7,10%","R$ 352.755.487,27","R$ 99,17","1,07","0,71%","0,25%","0,96%","6,12%",N/A,N/A,0
/funds/visc11,VISC11,Shoppings,"R$ 114,00",23891.0,"R$ 0,92","0,81%","1,90%","3,44%","6,95%","0,63%","0,57%","0,58%","4,58%","1,41%","2,22%","11,52%","R$ 819.333.935,47","R$ 100,40","1,14","0,65%","0,11%","0,75%","2,83%","6,10%",N/A,10
/funds/xpml11,XPML11,Shoppings,"R$ 111,45",41221.0,"R$ 0,57","0,52%","1,53%","3,03%","6,75%","0,51%","0,50%","0,56%","3,60%","-0,83%","-0,31%","8,28%","R$ 980.982.625,92","R$ 103,43","1,08","0,55%","0,47%","1,02%","1,84%","3,00%",N/A,8
/funds/bcff11,BCFF11,Títulos e Val. Mob.,"R$ 93,29",16991.0,"R$ 0,57","0,58%","1,82%","3,58%","7,57%","0,61%","0,60%","0,63%","4,21%","8,61%","9,24%","21,32%","R$ 748.377.209,07","R$ 88,57","1,05","0,64%","0,69%","1,33%","10,11%",N/A,N/A,0
/funds/mall11,MALL11,Shoppings,"R$ 103,00",13890.0,"R$ 0,61","0,59%","1,73%","3,41%","7,14%","0,58%","0,57%","0,59%","4,66%","-5,50%","-4,94%","0,80%","R$ 289.059.307,70","R$ 109,63","0,94","0,55%","0,00%","0,54%","-26,91%","0,00%",N/A,1
/funds/ubsr11,UBSR11,Títulos e Val. Mob.,"R$ 110,00",16377.0,"R$ 0,88","0,77%","2,40%","4,50%","11,62%","0,80%","0,75%","0,97%","5,29%","4,67%","5,48%","15,21%","R$ 322.665.049,00","R$ 96,15","1,14","0,92%","0,04%","0,96%","8,36%",N/A,N/A,0
/funds/bzli11,BZLI11,Títulos e Val. Mob.,"R$ 15,80",50.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 405.199.967,53","R$ 12,10","1,31",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/alzr11,ALZR11,Outros,"R$ 105,05",8834.0,"R$ 0,47","0,44%","1,47%","3,50%","7,64%","0,49%","0,58%","0,64%","4,17%","0,76%","1,20%","13,08%","R$ 270.792.876,31","R$ 94,65","1,11","0,46%","1,46%","1,93%","1,02%","0,00%",N/A,4
/funds/mgff11,MGFF11,Títulos e Val. Mob.,"R$ 101,99",20333.0,"R$ 0,75","0,76%","2,48%","4,89%","9,06%","0,83%","0,82%","0,76%","5,64%","-3,51%","-2,78%","11,41%","R$ 261.997.792,58","R$ 95,70","1,07","0,84%","-4,81%","-4,02%","2,14%",N/A,N/A,0
/funds/irdm11,IRDM11,Títulos e Val. Mob.,"R$ 126,00",7682.0,"R$ 0,64","0,51%","1,91%","3,84%","8,78%","0,64%","0,64%","0,73%","4,54%","5,79%","6,33%","18,03%","R$ 186.054.132,00","R$ 99,60","1,27","0,85%","2,37%","3,25%","9,06%",N/A,N/A,0
